cas_confirmes;cas_confirmes_ehpad;deces;deces_ehpad;reanimation;hospitalises;gueris
;;43;;2;27;160
;;48;;3;30;115
;;10;;2;5;103
;;92;;8;73;285
;;66;;18;64;597
;;23;;2;11;79
;;144;;20;137;825
;;118;;12;38;650
;;83;;7;84;396
;;76;;4;92;101
;;78;;9;101;283
;;142;;14;95;606
;;60;;0;24;262
;;12;;2;11;63
;;63;;6;114;206
;;236;;28;218;828
;;15;;1;15;90
;;144;;9;133;543
;;93;;16;130;530
;;22;;1;9;63
;;9;;2;20;58
;;1;;0;2;22
;;132;;10;114;498
;;47;;3;46;123
;;250;;11;165;902
;;77;;5;69;198
;;42;;2;33;142
;;340;;21;161;1022
;;94;;3;99;368
;;89;;9;61;376
;;792;;50;494;2090
;;26;;2;21;74
;;562;;69;626;1838
;;384;;15;330;946
;;37;;3;54;187
;;281;;34;270;1162
;;41;;6;29;163
;;27;;2;10;208
;;25;;3;18;143
;;34;;0;2;276
;;621;;44;567;2160
;;771;;39;610;2343
;;616;;68;617;2489
;;77;;0;48;252
;;193;;10;147;600
;;76;;3;94;293
;;64;;2;40;366
;;160;;6;117;793
;;1676;;194;1152;5405
;;174;;11;132;673
;;624;;62;461;2266
;;487;;38;595;1861
;;20;;2;12;56
;;212;;11;140;662
;;22;;2;15;107
;;5;;4;7;38
;;127;;8;143;846
;;35;;0;29;224
;;36;;5;57;187
;;37;;3;23;122
;;25;;2;16;117
;;251;;4;71;656
;;83;;9;78;251
;;171;;8;69;482
;;489;;63;709;1929
;;1009;;109;1189;3739
;;943;;95;1032;3102
;;1091;;69;1202;3391
;;669;;29;567;2225
;;17;;2;13;73
;;14;;2;17;81
;;1;;2;18;64
;;1;;1;16;116
;;19;;13;47;218
145555;37235;18195;10335;1555;16264;65879
;;18175;;1519;16209;65870
;;17;;2;13;73
;;14;;2;17;81
;;1;;2;18;64
;;1;;1;16;116
;;19;;13;47;218
;;6988;;659;6907;23918
;;501;;45;668;1691
;;997;;54;514;3343
;;417;;25;419;1399
;;1697;;144;1541;5515
;;3379;;182;2389;10430
;;430;;29;431;1663
;;246;;22;216;1110
;;388;;48;348;1867
;;488;;55;274;2636
;;1645;;139;1404;6738
;;889;;92;952;4790
;;58;;5;35;218
;;95;;2;104;366
;;259;;15;162;917
;;37;;0;16;171
;;12;;0;14;116
;;17;;2;26;109
;;178;;11;119;632
;;104;;6;70;369
;;53;;3;64;143
;;2;;1;2;32
;;131;;2;65;567
;;55;;4;18;214
;;23;;0;13;132
;;521;;69;604;2887
;;81;;2;79;274
;;9;;2;16;42
;;12;;1;7;50
;;48;;2;29;122
;;74;;0;60;144
;;34;;4;49;114
;;241;;11;53;860
;;32;;3;44;178
;;10;;7;20;56
;;12;;1;17;79
;;147;;12;43;598
;;128;;4;55;471
;;78;;3;80;169
;;117;;10;169;429
;;43;;2;29;160
;;48;;3;24;121
;;10;;2;6;103
;;92;;8;72;286
;;66;;18;68;597
;;23;;2;6;83
;;144;;19;137;828
;;118;;12;40;652
;;84;;6;81;399
;;76;;4;92;101
;;79;;9;94;291
;;143;;14;95;608
;;60;;0;21;265
;;12;;2;11;63
;;63;;4;113;207
;;237;;29;213;834
;;15;;1;15;90
;;144;;9;128;549
;;93;;16;131;529
;;22;;1;9;63
;;9;;2;20;58
;;1;;0;2;22
;;133;;8;110;503
;;47;;3;46;123
;;253;;11;149;916
;;77;;5;69;199
;;42;;1;32;145
;;341;;20;159;1029
;;93;;3;99;370
;;89;;9;60;379
;;793;;50;486;2099
;;27;;1;18;75
;;564;;62;621;1865
;;387;;14;326;951
;;37;;4;47;195
;;281;;34;267;1165
;;41;;6;29;163
;;27;;2;8;209
;;25;;3;18;143
;;34;;0;2;276
;;623;;44;544;2193
;;773;;39;583;2390
;;617;;63;566;2531
;;77;;0;49;253
;;193;;9;142;606
;;78;;2;90;296
;;66;;1;37;369
;;160;;6;118;793
;;1680;;183;1034;5510
;;175;;10;125;679
;;629;;57;444;2288
;;489;;37;592;1870
;;20;;2;11;57
;;213;;10;137;663
;;22;;2;13;109
;;5;;4;7;39
;;127;;8;142;848
;;35;;1;29;225
;;37;;5;57;188
;;37;;2;22;122
;;25;;2;16;117
;;252;;4;68;658
;;84;;9;80;255
;;172;;7;61;488
;;491;;62;691;1949
;;1011;;109;1136;3796
;;945;;96;1012;3126
;;1096;;69;1195;3409
;;673;;29;559;2234
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;19;66
;;1;;2;21;116
;;19;;12;46;223
145746;37235;18260;10336;1501;15680;66584
;;18240;;1467;15627;66575
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;19;66
;;1;;2;21;116
;;19;;12;46;223
;;7014;;642;6663;24182
;;502;;43;659;1701
;;1001;;49;467;3400
;;418;;22;377;1440
;;1704;;135;1513;5561
;;3389;;181;2286;10564
;;434;;25;417;1681
;;248;;20;214;1116
;;390;;46;347;1875
;;488;;55;270;2648
;;1652;;134;1334;6807
;;890;;91;934;4817
;;58;;5;30;224
;;95;;3;98;372
;;261;;17;160;922
;;38;;0;15;171
;;12;;0;14;116
;;17;;2;27;109
;;179;;9;113;639
;;105;;6;54;384
;;53;;3;61;146
;;2;;1;2;32
;;132;;2;64;570
;;55;;3;15;218
;;24;;0;11;133
;;523;;66;586;2905
;;81;;1;68;276
;;9;;2;16;42
;;12;;1;6;51
;;48;;1;29;122
;;74;;0;58;145
;;34;;4;48;115
;;241;;9;48;863
;;32;;3;42;179
;;11;;7;21;56
;;13;;1;14;81
;;148;;13;39;603
;;128;;3;55;472
;;78;;2;76;175
;;117;;9;166;432
;;43;;2;28;160
;;48;;3;23;122
;;10;;2;6;103
;;92;;10;69;290
;;68;;15;63;599
;;23;;1;6;83
;;145;;17;124;841
;;118;;11;37;655
;;84;;5;76;404
;;76;;4;92;101
;;79;;9;92;293
;;143;;12;89;614
;;61;;0;20;266
;;12;;2;10;64
;;63;;4;105;216
;;237;;28;213;837
;;15;;1;13;91
;;144;;8;125;555
;;93;;16;125;536
;;22;;1;10;64
;;9;;2;20;58
;;1;;0;1;23
;;133;;8;104;512
;;47;;3;46;123
;;253;;10;149;916
;;78;;14;77;202
;;42;;0;33;145
;;341;;17;157;1034
;;93;;5;64;407
;;90;;10;60;380
;;794;;46;480;2109
;;27;;1;17;77
;;568;;56;611;1879
;;389;;14;321;957
;;37;;4;46;197
;;283;;35;258;1179
;;42;;5;25;166
;;27;;2;7;210
;;25;;3;18;143
;;34;;0;2;276
;;626;;40;536;2211
;;775;;38;568;2411
;;623;;50;508;2587
;;77;;0;48;254
;;193;;9;139;612
;;78;;2;89;297
;;66;;1;37;369
;;160;;6;117;795
;;1689;;170;981;5558
;;175;;10;119;685
;;631;;57;434;2307
;;490;;38;584;1887
;;20;;2;10;58
;;215;;9;136;663
;;22;;2;13;109
;;5;;3;6;40
;;127;;8;143;849
;;35;;1;29;228
;;37;;4;57;196
;;38;;2;19;124
;;25;;1;15;117
;;252;;4;67;662
;;84;;9;78;257
;;173;;7;59;491
;;492;;60;655;1988
;;1017;;103;1117;3816
;;946;;92;995;3165
;;1098;;65;1198;3418
;;674;;29;554;2245
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;20;70
;;1;;2;21;116
;;19;;12;45;227
149071;37235;18326;10336;1429;15208;67191
;;18306;;1395;15155;67182
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;20;70
;;1;;2;21;116
;;19;;12;45;227
;;7037;;614;6518;24384
;;502;;42;638;1723
;;1004;;48;448;3423
;;418;;20;355;1456
;;1716;;131;1486;5600
;;3397;;179;2223;10668
;;434;;22;408;1705
;;249;;20;206;1123
;;394;;42;323;1897
;;491;;50;253;2665
;;1661;;117;1240;6900
;;893;;86;912;4846
;;58;;5;29;225
;;95;;3;98;372
;;263;;15;156;929
;;38;;0;13;173
;;12;;0;14;116
;;17;;2;27;109
;;179;;9;110;642
;;105;;6;42;396
;;53;;4;62;146
;;2;;1;2;32
;;133;;2;60;575
;;55;;3;15;219
;;24;;0;11;133
;;526;;63;564;2931
;;82;;1;57;281
;;9;;2;16;42
;;12;;1;6;51
;;48;;1;25;126
;;74;;0;52;151
;;34;;4;47;115
;;242;;8;44;869
;;32;;4;42;181
;;10;;5;20;58
;;13;;0;14;82
;;148;;10;37;603
;;128;;2;52;475
;;78;;2;77;177
;;119;;9;154;441
;;43;;1;26;161
;;48;;3;24;122
;;10;;2;3;106
;;92;;10;69;290
;;68;;13;62;601
;;23;;1;6;83
;;146;;17;121;844
;;118;;11;37;657
;;84;;5;78;404
;;76;;3;90;103
;;79;;9;89;297
;;144;;11;84;619
;;61;;0;29;282
;;12;;2;9;65
;;63;;2;102;219
;;238;;28;206;844
;;15;;1;13;92
;;144;;8;126;556
;;96;;15;119;539
;;22;;1;10;64
;;9;;2;20;59
;;1;;0;1;23
;;133;;7;103;513
;;47;;3;47;123
;;254;;9;136;924
;;78;;5;66;204
;;43;;0;29;148
;;341;;16;154;1041
;;93;;5;41;429
;;90;;9;59;382
;;796;;45;475;2109
;;27;;1;8;85
;;570;;54;589;1909
;;390;;14;301;977
;;37;;4;47;197
;;284;;36;262;1186
;;42;;4;19;171
;;27;;2;7;211
;;26;;2;16;143
;;34;;0;2;276
;;631;;41;501;2248
;;776;;37;552;2432
;;627;;47;468;2626
;;77;;0;49;254
;;195;;6;130;622
;;79;;2;83;302
;;68;;1;35;369
;;160;;6;113;799
;;1692;;161;949;5587
;;176;;9;111;693
;;633;;54;421;2334
;;492;;37;577;1893
;;20;;2;8;60
;;215;;9;133;667
;;22;;2;13;110
;;5;;3;6;40
;;128;;8;136;856
;;36;;1;28;228
;;38;;4;58;198
;;38;;2;13;130
;;25;;1;14;117
;;253;;4;67;662
;;84;;9;70;265
;;174;;6;55;493
;;493;;59;644;2002
;;1020;;96;1105;3832
;;948;;89;942;3220
;;1101;;62;1186;3430
;;674;;31;550;2269
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;21;71
;;1;;3;19;119
;;19;;13;54;229
149668;37273;18387;10327;1361;14695;67803
;;18367;;1328;14643;67794
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;21;71
;;1;;3;19;119
;;19;;13;54;229
;;7053;;589;6374;24567
;;507;;38;606;1750
;;1008;;40;422;3473
;;420;;19;339;1471
;;1722;;128;1441;5668
;;3408;;168;2114;10770
;;437;;21;399;1717
;;249;;19;205;1128
;;394;;39;304;1918
;;492;;47;250;2671
;;1669;;111;1159;6978
;;898;;83;879;4882
;;58;;5;27;228
;;95;;2;91;381
;;263;;14;156;930
;;38;;0;11;175
;;12;;0;14;116
;;17;;2;27;109
;;179;;7;109;645
;;105;;6;39;400
;;54;;3;36;172
;;2;;1;2;32
;;133;;2;56;578
;;55;;3;15;220
;;24;;0;7;137
;;526;;59;567;2933
;;82;;1;55;282
;;9;;2;15;43
;;12;;1;6;51
;;48;;1;25;126
;;74;;0;54;151
;;34;;3;46;117
;;243;;7;44;872
;;32;;4;40;183
;;10;;5;20;58
;;13;;0;14;82
;;148;;5;33;607
;;129;;2;48;478
;;78;;2;77;177
;;119;;11;156;441
;;43;;1;26;161
;;48;;3;24;122
;;10;;2;3;106
;;92;;10;69;290
;;68;;13;63;601
;;23;;1;6;83
;;146;;16;117;848
;;118;;10;33;669
;;84;;5;70;413
;;76;;3;90;103
;;79;;8;90;298
;;144;;11;87;619
;;61;;0;27;284
;;12;;2;9;65
;;63;;2;100;221
;;238;;28;206;844
;;15;;1;15;92
;;144;;7;130;559
;;96;;15;118;539
;;22;;1;10;64
;;9;;2;18;61
;;1;;0;1;23
;;133;;7;99;518
;;47;;3;47;123
;;254;;11;135;930
;;79;;4;63;205
;;43;;0;22;155
;;341;;15;143;1051
;;93;;6;38;432
;;90;;7;61;384
;;799;;43;451;2134
;;27;;1;11;86
;;576;;54;573;1936
;;391;;13;300;980
;;37;;4;47;198
;;285;;35;260;1188
;;42;;4;18;172
;;27;;2;8;211
;;26;;2;16;143
;;34;;0;2;276
;;633;;41;499;2268
;;778;;34;539;2448
;;627;;56;479;2630
;;77;;0;50;253
;;195;;6;130;622
;;79;;2;81;304
;;68;;2;34;372
;;160;;5;113;800
;;1692;;161;934;5612
;;176;;9;108;696
;;638;;51;412;2358
;;493;;37;575;1896
;;20;;2;8;60
;;215;;9;132;668
;;22;;2;13;110
;;5;;2;6;40
;;128;;8;135;858
;;36;;1;28;228
;;38;;4;56;200
;;38;;2;13;130
;;25;;1;14;117
;;253;;5;65;668
;;84;;9;69;266
;;174;;6;57;491
;;495;;57;645;2007
;;1023;;92;1067;3879
;;948;;88;931;3240
;;1125;;55;1109;3491
;;677;;29;539;2278
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;22;72
;;1;;4;20;119
;;19;;13;47;241
151496;37273;18444;10327;1325;14380;68268
;;18424;;1293;14329;68259
;;17;;1;13;73
;;14;;2;17;81
;;1;;2;22;72
;;1;;4;20;119
;;19;;13;47;241
;;7091;;570;6212;24761
;;507;;39;608;1753
;;1009;;34;421;3481
;;420;;19;334;1476
;;1730;;125;1421;5702
;;3417;;164;2025;10886
;;437;;20;388;1736
;;249;;17;197;1141
;;394;;37;298;1926
;;492;;45;243;2688
;;1670;;119;1156;7006
;;898;;77;880;4889
;;58;;5;27;228
;;95;;2;91;381
;;264;;14;155;930
;;38;;0;10;178
;;12;;0;14;116
;;17;;2;27;109
;;179;;7;110;645
;;105;;6;40;400
;;54;;3;36;172
;;2;;1;2;32
;;133;;2;55;579
;;56;;2;14;220
;;24;;0;7;137
;;526;;59;570;2935
;;82;;1;55;282
;;9;;2;15;43
;;12;;1;6;51
;;48;;1;25;126
;;75;;0;54;151
;;34;;3;45;118
;;243;;7;44;872
;;32;;4;40;183
;;10;;5;20;58
;;13;;0;14;82
;;148;;5;33;607
;;129;;2;48;478
;;78;;2;77;177
;;119;;11;156;441
;;43;;1;26;161
;;48;;3;24;122
;;10;;2;3;106
;;92;;10;69;290
;;70;;13;58;604
;;23;;1;6;83
;;146;;17;118;848
;;118;;10;33;669
;;84;;5;70;413
;;76;;3;90;103
;;79;;8;90;298
;;146;;10;81;623
;;61;;0;27;284
;;12;;2;9;65
;;63;;2;100;221
;;238;;28;207;845
;;15;;1;15;92
;;146;;6;128;564
;;96;;15;117;540
;;22;;1;10;65
;;9;;2;18;61
;;1;;0;1;23
;;133;;7;102;518
;;47;;4;47;123
;;254;;11;135;930
;;79;;4;64;205
;;43;;0;18;159
;;341;;14;142;1053
;;94;;5;37;432
;;90;;7;62;384
;;800;;44;454;2135
;;27;;1;11;86
;;576;;55;572;1939
;;391;;13;300;980
;;37;;4;47;198
;;285;;34;260;1188
;;42;;4;18;172
;;27;;2;9;211
;;26;;2;16;143
;;34;;0;2;276
;;634;;39;496;2271
;;778;;34;539;2448
;;628;;65;496;2631
;;77;;0;50;253
;;195;;6;130;622
;;79;;2;81;304
;;68;;2;34;372
;;160;;5;106;807
;;1694;;161;926;5622
;;176;;9;108;696
;;638;;49;411;2359
;;494;;36;572;1898
;;21;;1;8;60
;;217;;7;127;672
;;22;;2;13;110
;;5;;2;6;40
;;128;;8;135;858
;;36;;1;30;228
;;38;;4;56;200
;;38;;2;13;130
;;25;;1;14;117
;;253;;5;65;668
;;84;;9;64;272
;;175;;6;57;491
;;495;;58;646;2007
;;1024;;90;1061;3881
;;948;;86;929;3242
;;1136;;53;1087;3500
;;677;;29;537;2280
;;16;;1;13;73
;;14;;2;13;85
;;1;;2;22;72
;;1;;4;20;119
;;19;;13;47;243
151753;37273;18475;10327;1319;14322;68355
;;18455;;1287;14271;68346
;;16;;1;13;73
;;14;;2;13;85
;;1;;2;22;72
;;1;;4;20;119
;;19;;13;47;243
;;7106;;562;6169;24789
;;508;;39;607;1754
;;1010;;34;416;3487
;;420;;20;334;1476
;;1733;;123;1414;5709
;;3420;;161;2023;10893
;;439;;19;385;1745
;;249;;17;198;1141
;;395;;37;299;1927
;;495;;44;237;2692
;;1673;;127;1161;7022
;;898;;77;886;4891
;;58;;5;27;228
;;95;;2;91;381
;;265;;14;153;931
;;38;;0;11;178
;;12;;0;13;117
;;17;;2;27;109
;;179;;7;109;647
;;105;;6;42;400
;;54;;4;37;174
;;2;;1;2;32
;;133;;2;56;579
;;57;;2;13;220
;;24;;0;7;137
;;526;;59;567;2939
;;82;;1;55;282
;;9;;2;15;43
;;12;;1;6;51
;;48;;1;25;126
;;75;;0;53;152
;;34;;3;45;118
;;243;;7;45;874
;;33;;4;38;184
;;10;;5;20;58
;;13;;0;14;82
;;148;;5;33;607
;;129;;2;48;478
;;78;;2;77;177
;;119;;11;156;441
;;43;;1;26;162
;;48;;3;24;122
;;10;;2;3;106
;;92;;10;69;290
;;70;;12;58;604
;;23;;1;6;83
;;146;;17;119;848
;;118;;10;33;669
;;85;;5;70;413
;;76;;3;90;103
;;80;;8;89;298
;;146;;10;81;623
;;61;;0;27;284
;;12;;2;9;65
;;63;;2;100;221
;;239;;26;204;847
;;16;;1;15;91
;;146;;6;127;566
;;96;;13;117;540
;;22;;1;11;65
;;9;;2;18;61
;;1;;0;1;23
;;133;;8;102;519
;;47;;4;47;123
;;254;;11;135;930
;;80;;2;63;207
;;43;;0;19;159
;;341;;14;142;1053
;;94;;5;38;432
;;90;;7;62;384
;;802;;45;443;2145
;;27;;1;11;86
;;578;;54;570;1943
;;392;;13;310;980
;;37;;4;47;198
;;286;;34;259;1188
;;42;;4;18;172
;;27;;1;8;212
;;26;;2;16;143
;;34;;0;2;276
;;635;;38;495;2271
;;778;;34;539;2448
;;628;;63;496;2631
;;77;;0;50;253
;;195;;6;130;622
;;79;;2;81;304
;;68;;2;35;372
;;160;;5;107;807
;;1695;;159;919;5635
;;176;;9;109;696
;;640;;49;410;2360
;;494;;36;571;1899
;;21;;1;8;60
;;217;;7;127;672
;;22;;2;14;110
;;5;;2;6;40
;;128;;8;135;858
;;36;;1;30;228
;;38;;4;56;200
;;38;;2;13;130
;;25;;1;14;117
;;253;;4;65;668
;;85;;9;63;272
;;175;;6;56;492
;;497;;57;643;2008
;;1029;;89;1052;3886
;;948;;89;937;3243
;;1138;;53;1065;3521
;;678;;27;542;2283
;;16;;1;13;73
;;14;;2;13;85
;;1;;2;30;73
;;1;;3;20;119
;;21;;10;46;244
152091;37273;18506;10327;1302;14288;68440
;;18486;;1270;14237;68431
;;16;;1;13;73
;;14;;2;13;85
;;1;;2;30;73
;;1;;3;20;119
;;21;;10;46;244
;;7119;;559;6139;24835
;;509;;37;605;1755
;;1011;;34;415;3490
;;420;;20;335;1476
;;1738;;122;1419;5714
;;3424;;159;2013;10907
;;439;;20;385;1748
;;251;;17;196;1143
;;395;;36;299;1928
;;496;;43;238;2692
;;1675;;123;1163;7023
;;898;;77;881;4898
;;58;;5;27;228
;;95;;1;90;383
;;266;;12;152;932
;;39;;0;14;178
;;12;;0;13;117
;;18;;2;23;112
;;181;;6;106;648
;;106;;7;43;401
;;54;;4;37;174
;;2;;1;2;32
;;134;;2;54;579
;;58;;1;12;220
;;24;;0;7;137
;;530;;59;559;2951
;;82;;1;54;283
;;9;;1;14;43
;;12;;1;6;51
;;48;;1;25;126
;;76;;0;53;153
;;37;;0;16;144
;;243;;5;44;875
;;34;;3;36;185
;;10;;5;20;58
;;13;;0;12;84
;;148;;5;32;611
;;129;;2;47;479
;;78;;2;76;178
;;119;;10;155;442
;;43;;1;26;162
;;48;;3;24;122
;;10;;2;3;106
;;92;;6;73;292
;;70;;11;58;605
;;23;;1;6;83
;;146;;16;107;857
;;118;;10;34;669
;;85;;5;70;413
;;76;;3;90;103
;;80;;8;89;298
;;148;;10;77;626
;;61;;0;24;287
;;12;;2;9;65
;;63;;2;100;223
;;242;;24;189;860
;;17;;1;15;91
;;147;;7;120;574
;;96;;13;115;542
;;22;;1;10;66
;;9;;2;18;61
;;1;;0;1;23
;;133;;8;99;523
;;47;;4;47;123
;;257;;11;129;936
;;81;;2;59;209
;;44;;0;18;160
;;342;;13;140;1056
;;95;;2;29;438
;;90;;7;57;390
;;806;;43;437;2159
;;27;;1;11;86
;;580;;51;565;1953
;;393;;14;314;986
;;37;;4;45;201
;;289;;32;251;1196
;;42;;4;19;171
;;27;;1;8;212
;;26;;2;16;143
;;34;;1;2;276
;;636;;36;495;2276
;;785;;29;515;2479
;;630;;58;479;2645
;;77;;0;46;257
;;195;;6;120;635
;;79;;2;80;307
;;68;;2;35;372
;;160;;6;106;809
;;1695;;158;908;5651
;;176;;10;107;701
;;645;;55;417;2365
;;496;;37;570;1906
;;21;;1;5;63
;;217;;6;124;673
;;22;;2;13;111
;;5;;2;6;40
;;131;;7;134;861
;;36;;0;32;229
;;38;;4;59;202
;;38;;2;16;131
;;25;;1;14;117
;;253;;4;66;667
;;86;;9;60;272
;;176;;6;53;495
;;499;;53;650;2008
;;1038;;84;1036;3913
;;953;;86;927;3260
;;1139;;51;1058;3527
;;682;;25;531;2292
;;16;;1;13;73
;;14;;2;13;85
;;1;;3;28;82
;;1;;4;23;119
;;21;;10;33;258
151325;37405;18590;10350;1253;14028;68812
;;18570;;1221;13978;68803
;;16;;1;13;73
;;14;;2;13;85
;;1;;3;28;82
;;1;;4;23;119
;;21;;10;33;258
;;7147;;549;6097;24922
;;510;;36;602;1761
;;1013;;32;390;3518
;;420;;21;329;1486
;;1745;;115;1406;5740
;;3443;;146;1961;10973
;;441;;21;376;1766
;;252;;16;189;1150
;;398;;32;256;1969
;;497;;38;240;2697
;;1685;;116;1128;7058
;;908;;74;867;4918
;;58;;5;27;228
;;96;;1;82;390
;;266;;11;148;941
;;39;;0;13;178
;;12;;0;13;118
;;18;;2;23;112
;;182;;6;102;651
;;106;;6;35;409
;;54;;4;37;174
;;2;;1;2;32
;;134;;2;50;583
;;58;;1;10;222
;;24;;0;7;137
;;532;;59;547;2971
;;82;;1;52;285
;;9;;1;14;43
;;12;;1;6;51
;;48;;1;23;128
;;76;;0;53;153
;;37;;0;12;149
;;244;;5;41;878
;;34;;3;35;187
;;11;;5;19;59
;;13;;0;12;84
;;148;;5;29;613
;;129;;2;47;479
;;78;;2;68;186
;;122;;10;150;444
;;43;;1;26;162
;;48;;3;23;123
;;10;;2;3;106
;;93;;5;62;303
;;71;;11;53;609
;;23;;1;6;83
;;146;;15;104;864
;;118;;10;37;667
;;86;;3;61;425
;;76;;3;88;105
;;80;;8;89;299
;;149;;10;77;629
;;61;;0;24;288
;;12;;2;8;66
;;63;;2;97;226
;;243;;19;174;875
;;17;;1;15;91
;;147;;7;115;579
;;98;;14;113;544
;;22;;1;10;66
;;9;;2;17;62
;;1;;0;1;23
;;133;;8;94;527
;;47;;4;49;123
;;258;;12;126;940
;;82;;2;51;217
;;44;;0;16;162
;;342;;13;139;1060
;;96;;2;30;441
;;90;;7;56;393
;;808;;46;432;2180
;;27;;1;12;86
;;586;;49;546;1974
;;393;;13;309;991
;;37;;4;45;205
;;291;;31;250;1199
;;42;;5;20;172
;;27;;0;5;214
;;26;;2;15;144
;;34;;1;2;276
;;637;;37;485;2295
;;788;;27;502;2499
;;633;;47;451;2667
;;77;;0;41;264
;;197;;6;102;654
;;81;;2;69;318
;;68;;2;36;372
;;161;;6;106;810
;;1697;;152;880;5679
;;177;;8;104;703
;;651;;57;414;2378
;;497;;35;539;1941
;;21;;0;4;63
;;218;;6;125;673
;;22;;2;11;113
;;5;;2;6;40
;;131;;6;131;869
;;36;;0;33;230
;;38;;2;59;202
;;39;;1;12;134
;;25;;1;14;117
;;254;;3;61;677
;;87;;8;53;279
;;176;;4;49;496
;;502;;56;625;2037
;;1044;;80;1003;3951
;;956;;86;912;3288
;;1152;;50;964;3614
;;683;;24;530;2298
;;16;;1;13;73
;;14;;2;13;85
;;1;;3;29;89
;;1;;4;21;121
;;21;;10;38;261
151677;37405;18671;10350;1210;13514;69455
;;18651;;1179;13465;69446
;;16;;1;13;73
;;14;;2;13;85
;;1;;3;29;89
;;1;;4;21;121
;;21;;10;38;261
;;7182;;540;5867;25186
;;515;;37;590;1771
;;1017;;29;351;3558
;;421;;19;318;1502
;;1754;;110;1378;5778
;;3453;;148;1913;11066
;;443;;19;353;1788
;;253;;14;178;1167
;;400;;28;236;1991
;;499;;37;222;2715
;;1692;;100;1070;7115
;;911;;73;849;4951
;;58;;5;26;229
;;97;;0;84;391
;;267;;13;147;944
;;39;;0;13;178
;;12;;0;13;118
;;18;;1;22;113
;;183;;5;99;654
;;107;;6;30;412
;;54;;0;33;176
;;2;;1;2;32
;;134;;2;47;586
;;58;;1;7;224
;;24;;0;7;137
;;532;;54;519;3005
;;82;;1;50;286
;;9;;1;13;44
;;12;;1;6;51
;;48;;1;23;128
;;76;;0;51;155
;;37;;0;0;161
;;246;;5;42;884
;;35;;3;34;187
;;11;;5;18;60
;;13;;0;11;85
;;148;;5;28;613
;;129;;2;45;481
;;78;;2;68;186
;;125;;10;146;447
;;43;;1;25;162
;;48;;4;21;126
;;10;;2;3;106
;;93;;5;63;303
;;71;;9;49;612
;;23;;1;5;84
;;146;;16;105;869
;;118;;10;37;667
;;86;;3;61;426
;;76;;3;88;105
;;80;;8;88;300
;;147;;10;74;633
;;61;;0;23;289
;;12;;2;7;67
;;63;;0;96;227
;;243;;16;162;886
;;17;;1;15;91
;;147;;7;111;588
;;98;;14;114;544
;;22;;2;9;67
;;9;;2;10;69
;;1;;0;1;23
;;134;;7;91;531
;;47;;4;48;124
;;258;;12;126;940
;;83;;2;49;218
;;44;;0;14;164
;;345;;12;129;1071
;;96;;2;31;443
;;90;;6;55;396
;;811;;40;412;2202
;;27;;1;12;86
;;588;;49;538;1987
;;394;;13;302;998
;;37;;4;41;209
;;297;;32;222;1225
;;42;;5;20;172
;;27;;0;5;214
;;26;;2;14;145
;;34;;1;2;276
;;637;;38;470;2296
;;788;;27;505;2516
;;634;;45;404;2720
;;77;;0;40;266
;;197;;6;100;656
;;82;;2;62;325
;;68;;2;34;376
;;162;;6;104;811
;;1699;;147;865;5693
;;177;;8;103;704
;;652;;54;416;2392
;;498;;34;523;1957
;;21;;0;4;63
;;218;;6;125;674
;;22;;1;6;117
;;5;;2;5;41
;;131;;5;124;878
;;36;;0;29;231
;;38;;3;55;207
;;39;;1;12;134
;;25;;1;14;117
;;255;;3;61;679
;;89;;5;49;284
;;177;;4;43;503
;;502;;57;623;2041
;;1047;;76;963;3997
;;957;;82;894;3318
;;1156;;49;949;3642
;;683;;24;522;2309
;;16;;0;12;74
;;14;;1;12;85
;;1;;3;29;92
;;1;;4;21;121
;;21;;10;40;265
152444;37405;18715;10350;1163;13101;69976
;;18695;;1133;13054;69967
;;16;;0;12;74
;;14;;1;12;85
;;1;;3;29;92
;;1;;4;21;121
;;21;;10;40;265
;;7194;;523;5755;25349
;;518;;35;583;1778
;;1022;;26;337;3581
;;421;;19;310;1509
;;1764;;113;1334;5828
;;3461;;138;1863;11127
;;445;;19;333;1815
;;254;;13;175;1171
;;400;;29;215;2018
;;499;;35;207;2728
;;1694;;94;998;7195
;;912;;65;806;4999
;;58;;6;24;232
;;97;;0;81;392
;;267;;13;143;950
;;39;;0;15;180
;;12;;0;13;118
;;18;;1;22;113
;;183;;5;99;661
;;107;;6;30;412
;;54;;0;23;186
;;2;;1;2;32
;;135;;2;35;598
;;58;;1;7;225
;;24;;0;7;137
;;533;;55;517;3025
;;82;;1;50;286
;;9;;1;13;44
;;12;;1;6;51
;;48;;1;23;129
;;76;;0;51;155
;;37;;0;0;159
;;246;;3;37;887
;;36;;2;33;189
;;11;;5;16;62
;;13;;0;11;85
;;148;;6;29;613
;;129;;1;44;482
;;79;;0;69;187
;;125;;10;141;453
;;43;;1;24;163
;;48;;4;21;126
;;10;;2;3;106
;;93;;5;63;303
;;71;;4;43;615
;;23;;1;5;84
;;147;;14;103;871
